,model,semantic_score,hybrid_score
0,BAAI/bge-large-en-v1.5,0.337729806375078,0.7150613800281623
1,WhereIsAI/UAE-Large-V1,0.33024802195630615,0.7005957366790988
2,sentence-transformers/all-mpnet-base-v2,0.341901282067171,0.7122281567391423
